,Unnamed: 0,SL.NO.,S_ID,Department,GENDER (M/F),AGE,X Exam,X Board,X School,X Subjects,X Medium,X YOP,X Percentage,X Actual Percentage,X Marks Obtained,X Total Marks,XII Exam,XII Board,XII School,XII Subjects,XII Medium,XII YOP,XII Std Percent,XII Actual Percent,XII Marks Obtained,XII Total Marks,Diploma Stream,Dip Uni/Board/Council,Dip Institute,Dip Medium,Dip YOP,Dip Aggregate Marks %,Permanent Loc State,Entrance Exam,Clg Year of Entry,Clg Year of Passing,Sem1,Sem2,Sem3,Sem4,Sem5,Sem Avg,Backlog Count
0,0,1,1310905003.0,AEIE,F,21,I.C.S.E,"COUNCIL FOR THE INDIAN SCHOOL CERTIFICATE EXAMINATIONS, NEW DELHI",RAM MOHAN MISSION HIGH SCHOOL,"ENGLISH, BENGALI, ENVIRONMENTAL EDUCATION, HISTORY, CIVICS & GEOGRAPHY, MATHEMATICS, SCIENCE(PHYSICS, CHEMISTRY,BIOLOGY), COMPUTER APPLICATIONS.",ENGLISH,2011.0,86,83.28,583,700,I.S.C,"COUNCIL FOR THE INDIAN SCHOOL CERTIFICATE EXAMINATIONS, NEW DELHI",MANSUR HABIBULLAH MEMORIAL SCHOOL,"ENGLISH,BENGALI, MATHEMATICS,PHYSICS, CHEMISTRY,BIOLOGY",ENGLISH,2013.0,87.55,84.66,508,600.0,,,,,,,WEST BENGAL,WBJEE,2013.0,2017.0,8.22,8.45,8.59,9.14,8.4,8.56,
1,1,2,1310905137.0,AEIE,F,21,"SECONDARY SCHOOL EXAMINATION,2011","B.S.E.B,PATNA",GIRLS HIGH SCHOOL,"HINDI,SANSKRIT,MATHEMATICS,SCIENCE,SOCIAL SCIENCE,ENGLISH",HINDI,2011.0,70.8,70.8,425,600,"INTERMEDIATE EXAMINATION,2013","B.S.E.B,PATNA","S.M.COLLEGE,BHAGALPUR","R B HINDI,ALTERNATIVE ENGLISH,PHYSICS ,CHEMISTRY,MATHEMATICS",ENGLISH,2013.0,60.4,60.4,302,500.0,,,,,,,BIHAR,DE-CENTRALISED ADMISSION,2013.0,2017.0,6.52,7.38,6.93,7.97,8.04,7.367999999999999,
2,2,3,1310905126.0,AEIE,M,20,ALL INDIA SENIOR SECONDARY EXAMINATION,CENTRAL BOARD OF SECONDARY EDUCATION,"J L M MEMORIAL SR. SEC. SCHOOL DIGWADIH, DHANBAD","HINDI COURSE-A, MATHEMATICS, SCIENCE, SOCIAL SCIENCE, ENGLISH LANGUAGE & LITERATURE,INTRODUCTRY IT",ENGLISH,2010.0,85.5,83.6,,,ALL INDIA SENIOR SCHOOL CERTIFICATE EXAM,CBSE,R K S VIDIYA MANDIR DHANSAR DHANBAD,"ENGLISH CORE, MATHEMATICS, PHYSICS, CHEMISTRY, INFORMATICS PRAC.,PHYSICAL EDUCATION",ENGLISH,2012.0,86.6,84.0,504,600.0,,,,,,,JHARKHAND,WBJEE,2013.0,2017.0,8.22,7.93,7.89,7.83,8.44,8.062,
3,3,4,1310905036.0,AEIE,F,21,MADHYAMIK PARIKSHA,WEST BENGAL BOARD OF SECONDARY EDUCATION,BIDYA BHARATI GIRLS' HIGH SCHOOL,"BENGALI,ENGLISH, MATHEMATICS,PHYSICAL SCIENCE,LIFE SCIENCE,HISTORY, GEOGRAPHY",ENGLISH,2011.0,87.38,87.38,699,800,HIGHER SECONDARY EXAMINATION,WEST BENGAL BOARD OF HIGHER SECONDARY EXAMINATION,BIDYA BHARATI GIRLS' HIGH SCHOOL,"BENGALI,ENGLISH, CHEMISTRY,MATHEMATICS, PHYSICS,BIOLOGY",ENGLISH,2013.0,86.0,84.57,592,700.0,,,,,,,WEST BENGAL,WBJEE,2013.0,2017.0,8.59,8.45,9.04,9.59,9.08,8.95,
4,4,5,1310905021.0,AEIE,F,21,I.C.S.E,"COUNCIL FOR THE INDIAN SCHOOL CERTIFICATE EXAMINATIONS, NEW DELHI","MOUNT ASSISI SCHOOL, BHAGALPUR","ENGLISH,HINDI,ENVIRONMENTAL EDUCATION,HISTORY, CIVICS & GEOGRAPHY (HCS-A, GEO-A),MATHEMATICS,SCIENCE(PHY-C , CHE-A, BIO-B),COMPUTER APPLICATIONS",ENGLISH,2011.0,94.4,91.14,638,700,"SENIOR SCHOOL CERTIFICATE EXAMINATION ,2013",CENTRAL BOARD OF SECONDARY EDUCATION,"DAV PUBLIC SCHOOL, BISTUPUR, JAMSHEDPUR","ENGLISH CORE,PHYSICS,CHEMISTRY,MATHEMATICS,COMPUTERSCIENCE",ENGLISH,2013.0,85.8,85.8,429,500.0,,,,,,,BIHAR,WBJEE,2013.0,2017.0,7.7,8.28,7.85,7.79,7.8,7.883999999999999,
5,5,6,1310905024.0,AEIE,M,22,MADHYAMIK PARIKSHA(SECONDARY EXAMINATION),WEST BENGAL BOARD OF SECONDARY EDUCATION,ALIPUR TAKSHAL VIDYAPITH,"1. HINDI( FIRST LANGUAGE) , 2. ENGLISH (SECOND LANGUAGE) , 3. MATHEMATICS , 4. PHYSICAL SCIENCE , 5. LIFE SCIENCE , 6. HISTORY , 7. GEOGRAPHY 8. ENVIRONMENTAL STUDIES",HINDI,2011.0,71.5,70.66,636,900,HIGHER SECONDARY EXAMINATION,WEST BENGAL COUNCIL OF HIGHER SECONDARY EDUCATION,LAJPAT HINDI HIGH SCHOOL,"1. HINDI , 2. ENGLISH , 3. PHYSICS , 4. CHEMISTRY , 5. MATHEMATICS , 6. BIOLOGICAL SCIENCES , 7. ENVIRONMENTAL EDUCATION",HINDI,2013.0,69.2,67.14,470,700.0,,,,,,,WEST BENGAL,WBJEE,2013.0,2017.0,8.0,7.72,7.85,7.31,7.56,7.688,
6,6,7,1310905027.0,AEIE,F,22,I.C.S.E,"COUNCIL FOR THE INDIAN SCHOOL CERTIFICATE EXAMINATIONS, NEW DELHI",W.W.A. COSSIPORE ENGLISH SCHOOL,"ENGLISH , BENGALI , ENVIRONMENTAL EDUCATION, HISTORY , CIVICS & GEOGRAPHY, MATHEMATICS, SCIENCE(PHYSICS,CHEMISTRY, BIOLOGY), COMPUTER APPLICATIONS",ENGLISH,2011.0,90.43,90.42,633,700,I.S.C,"COUNCIL FOR THE INDIAN SCHOOL CERTIFICATE EXAMINATIONS, NEW DELHI",W.W.A. COSSIPORE ENGLISH SCHOOL,"ENGLISH, BENGALI, MATHAMATICS, PHYSICS, CHEMISTRY, BIOLOGY",ENGLISH,2013.0,88.0,88.0,528,600.0,,,,,,,WEST BENGAL,WBJEE,2013.0,2017.0,7.81,8.03,7.44,8.38,7.72,7.876,
7,7,8,1310905022.0,AEIE,F,21,MADHYAMIK PARIKSHA,WBBSE,BAIDYABATI CHARUSILA BOSE BALIKA VIDYALAYA,"BENGALI(1ST PAPER), BENGALI(2ND PAPER), ENGLISH, MATHEMATICS, PHYSICAL SCIENCE, LIFE SCIENCE, HISTORY, GEOGRAPHY",BENGALI,2011.0,83.37,83.37,667,800,HIGHER SECONDARY EXAMINATION,WBCHSE,BAIDYABATI CHARUSILA BOSE BALIKA VIDYALAYA,"BENGALI, ENGLISH, PHYSICS, CHEMISTRY, MATHEMATICS, BIOLOGY, ENVIORNMENTAL SCIENCE",BENGALI,2013.0,76.2,74.42,521,700.0,,,,,,,WEST BENGAL,WBJEE,2013.0,2017.0,7.74,7.79,8.22,8.93,8.68,8.272,
8,8,9,1310905007.0,AEIE,F,21,MADHYAMIK EXAMINATION,WEST BENGAL BOARD OF SECONDARY EDUCATION,SUNITIBALA SADAR GIRL'S HIGH SCHOOL,"BENGALI 1,BENGALI 2,MATHEMATICS ,ENGLISH, PHYSICAL SCIENCE ,LIFE SCIENCE ,HISTORY ,GEOGRAPHY",ENGLISH,2011.0,86,86.12,689,800,HIGHER SECONDARY,WEST BENGAL BOARD,SUNITIBALA SADAR GIRL'S HIGH SCHOOL,"BENGALI ,MATHEMATICS ,ENGLISH ,PHYSICS ,CHEMISTRY ,LIFE SCIENCE",ENGLISH,2013.0,70.2,70.2,351,500.0,,,,,,,WEST BENGAL,WBJEE,2013.0,2017.0,7.04,6.9,6.7,7.62,7.32,7.116,
9,9,10,1310905004.0,AEIE,F,20,SECONDARY SCHOOL EXAMINATION,CBSE,NAVYUG VIDYALAYA,"ENGLISH LAN & LIT,COMM. SANSKRIT,MATHEMATICS,SCIENCE,SOCIAL SCIENCE",ENGLISH,2010.0,82,81.7,,500,SENIOR SCHOOL CERTIFICATE EXAMINATION,CBSE,SUDHIR MEMORIAL INSTITUTE,"ENGLISH CORE,MATHEMATICS,PHYSICS,CHEMISTRY,PHYSICAL EDUCATION",ENGLISH,2013.0,60.4,60.4,302,500.0,,,,,,,BIHAR,WBJEE,2013.0,2017.0,7.63,7.69,7.78,7.24,7.4,7.548,
